id,genero,idgenero,año_ingreso,semestre_trimestre,idprograma,programa,facultad,campus,sede,jornada,duracionprograma,añooportuno,estadoalumno,idestadoalumno,tipoprograma
3838,Hombre,1,2016,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2018,Desertor,0,Magíster
3839,Mujer,0,2017,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
3840,Mujer,0,2016,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
3841,Mujer,0,2018,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
3842,Mujer,0,2014,1,UNAB29981,Magister en Gestión Pedagógica y Curricular,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2016,Desertor,0,Magíster
3843,Hombre,1,2017,1,UNAB25893,Magíster en Rendimiento Deportivo,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2019,Desertor,0,Magíster
3844,Mujer,0,2016,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
3845,Mujer,0,2015,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
3846,Hombre,1,2016,1,UNAB35491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2018,Desertor,0,Magíster
3847,Mujer,0,2015,1,UNAB25361,Magister en Educación Inicial Mención en Didactica de las Matemáticas y el Lenguaje,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2017,Desertor,0,Magíster
3848,Mujer,0,2018,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
3849,Hombre,1,2016,1,IPPG35348,MBA con Especialización en Salud,IPPG,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
3850,Hombre,1,2015,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2018,Desertor,0,Magíster
3851,Mujer,0,2014,1,UNAB29981,Magister en Gestión Pedagógica y Curricular,Educación y Ciencias Sociales,VIN,Viña del Mar,Vespertina,4,2016,Desertor,0,Magíster
3852,Mujer,0,2016,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
3853,Hombre,1,2014,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2016,Desertor,0,Magíster
3854,Mujer,0,2017,1,UNAB35520,Magíster en Intervención Socio-Jurídica en Familia,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
3855,Mujer,0,2014,1,UNAB16354,Magister en Neuro Rehabilitación,Ciencias de la Rehabilitación,VIN,Viña del Mar,Diurna,4,2016,Desertor,0,Magíster
3856,Mujer,0,2016,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2018,Desertor,0,Magíster
3857,Hombre,1,2015,1,UNAB25491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,CON,Concepción,Vespertina,3,2017,Desertor,0,Magíster
3858,Mujer,0,2014,1,UNAB35391,Magister en Gestión de la Actividad Física y Deportiva,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2016,Desertor,0,Magíster
3859,Mujer,0,2015,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
3860,Mujer,0,2017,1,UNAB25311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2019,Desertor,0,Magíster
3861,Mujer,0,2017,1,UNAB29981,Magister en Gestión Pedagógica y Curricular,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2019,Desertor,0,Magíster
3862,Mujer,0,2014,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2016,Desertor,0,Magíster
3863,Hombre,1,2014,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2016,Desertor,0,Magíster
3864,Mujer,0,2017,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2019,Desertor,0,Magíster
3865,Hombre,1,2014,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
3866,Mujer,0,2017,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
3867,Mujer,0,2016,1,UNAB25554,Magister en Direccion de Empresas (MBA Executive),Economía y Negocios,VIN,Viña del Mar,Vespertina,28,2018,Desertor,0,Magíster
3868,Mujer,0,2014,2,UNAB25482,Magíster en Liderazgo y Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,2,2016,Desertor,0,Magíster
3869,Mujer,0,2016,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2018,Desertor,0,Magíster
3870,Mujer,0,2014,1,IPPG15348,MBA con Especialización en Salud,IPPG,REP,Santiago,Diurna,4,2016,Desertor,0,Magíster
3871,Mujer,0,2016,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
3872,Mujer,0,2014,1,UNAB29981,Magister en Gestión Pedagógica y Curricular,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2016,Desertor,0,Magíster
3873,Mujer,0,2017,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2019,Desertor,0,Magíster
3874,Mujer,0,2015,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2017,Desertor,0,Magíster
3875,Hombre,1,2014,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2016,Desertor,0,Magíster
3876,Mujer,0,2014,1,UNAB25410,Magister en Enseñanza del Inglés Como Lengua Extranjera,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2016,Desertor,0,Magíster
3877,Hombre,1,2017,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
3878,Mujer,0,2014,1,UNAB16354,Magister en Neuro Rehabilitación,Ciencias de la Rehabilitación,CON,Concepción,Diurna,4,2016,Desertor,0,Magíster
3879,Hombre,1,2016,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2019,Desertor,0,Magíster
