id,genero,idgenero,año_ingreso,semestre_trimestre,idprograma,programa,facultad,campus,sede,jornada,duracionprograma,añooportuno,estadoalumno,idestadoalumno,tipoprograma
8113,Mujer,0,2018,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8114,Mujer,0,2017,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8115,Mujer,0,2018,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8116,Mujer,0,2018,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8117,Mujer,0,2017,2,UNAB15351,Magíster en Terapia Manual Ortopédica,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2020,Activo,1,Magíster
8118,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8119,Mujer,0,2018,2,UNAB35551,Magister en Direccion de Recursos Humanos y Habilidades Directivas,Economía y Negocios,LNS,Santiago,On Line,26,2020,Activo,1,Magíster
8120,Mujer,0,2018,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8121,Hombre,1,2018,2,UNAB25554,Magister en Direccion de Empresas (MBA Executive),Economía y Negocios,CON,Concepción,Vespertina,28,2020,Activo,1,Magíster
8122,Mujer,0,2018,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8123,Hombre,1,2018,1,UNAB25553,Magister en Direccion Comercial y Marketing Estrategico,Economía y Negocios,LNS,Santiago,Vespertina,26,2020,Activo,1,Magíster
8124,Hombre,1,2014,1,IPPG15349,MBA con Especialización en Salud,IPPG,REP,Santiago,Diurna,4,2016,Desertor,0,Magíster
8125,Mujer,0,2017,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
8126,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8127,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8128,Mujer,0,2018,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8129,Hombre,1,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8130,Mujer,0,2018,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8131,Mujer,0,2018,1,UNAB26220,Magister en Comprensión Lectora y Producción de Textos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
8132,Mujer,0,2018,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2021,Activo,1,Magíster
8133,Mujer,0,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8134,Hombre,1,2017,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2020,Activo,1,Magíster
8135,Hombre,1,2018,2,UNAB35496,Magíster en Dirección de Operaciones y Logística,Ingeniería,ANT,Santiago,On Line,4,2021,Activo,1,Magíster
8136,Mujer,0,2017,2,UNAB25477,Magíster en Lenguaje y Comunicación,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
8137,Hombre,1,2017,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,CAS,Santiago,On Line,4,2020,Activo,1,Magíster
8138,Mujer,0,2018,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2021,Activo,1,Magíster
8139,Mujer,0,2017,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8140,Hombre,1,2018,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8141,Mujer,0,2018,1,UNAB25419,Magíster en Tributación,Economía y Negocios,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8142,Mujer,0,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8143,Mujer,0,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8144,Hombre,1,2018,2,UNAB25554,Magister en Direccion de Empresas (MBA Executive),Economía y Negocios,CON,Concepción,Vespertina,28,2020,Activo,1,Magíster
8145,Mujer,0,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8146,Hombre,1,2014,1,UNAB25391,Magister en Gestión de la Actividad Física y Deportiva,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2016,Desertor,0,Magíster
8147,Hombre,1,2017,2,UNAB35636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2019,Desertor,0,Magíster
8148,Hombre,1,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8149,Hombre,1,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8150,Hombre,1,2018,3,UNAB25568,Magíster en Gestión de Tecnologías de la Información y Telecomunicaciones,Ingeniería,VIN,Viña del Mar,Vespertina,3,2021,Activo,1,Magíster
8151,Mujer,0,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8152,Mujer,0,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8153,Hombre,1,2018,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,EXT,Santiago,On Line,4,2021,Activo,1,Magíster
8154,Hombre,1,2018,3,UNAB35636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2021,Activo,1,Magíster
8155,Hombre,1,2017,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
8156,Hombre,1,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
8157,Hombre,1,2018,1,UNAB25568,Magíster en Gestión de Tecnologías de la Información y Telecomunicaciones,Ingeniería,ANT,Santiago,Vespertina,3,2020,Activo,1,Magíster
8158,Mujer,0,2018,1,UNAB25636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,Vespertina,3,2020,Activo,1,Magíster
8159,Hombre,1,2015,1,IPPG15348,MBA con Especialización en Salud,IPPG,REP,Santiago,Diurna,4,2017,Desertor,0,Magíster
8160,Mujer,0,2017,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
8161,Mujer,0,2018,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2021,Activo,1,Magíster
8162,Mujer,0,2018,2,UNAB25317,Magister en Administración de Empresas,Economía y Negocios,CAS,Santiago,Vespertina,4,2021,Activo,1,Magíster
8163,Hombre,1,2018,2,UNAB35553,Magister en Direccion Comercial y Marketing Estrategico,Economía y Negocios,LNS,Santiago,On Line,26,2020,Activo,1,Magíster
8164,Mujer,0,2014,1,IPPG15349,MBA con Especialización en Salud,IPPG,REP,Santiago,Diurna,4,2016,Desertor,0,Magíster
8165,Hombre,1,2018,1,UNAB25419,Magíster en Tributación,Economía y Negocios,LNS,Santiago,Vespertina,4,2020,Activo,1,Magíster
8166,Hombre,1,2017,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2019,Desertor,0,Magíster
8167,Mujer,0,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8168,Mujer,0,2016,2,UNAB35520,Magíster en Intervención Socio-Jurídica en Familia,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
8169,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8170,Hombre,1,2018,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2021,Activo,1,Magíster
8171,Hombre,1,2017,1,UNAB35491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2019,Desertor,0,Magíster
8172,Mujer,0,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8173,Mujer,0,2017,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8174,Hombre,1,2018,2,IPPG35348,MBA con Especialización en Salud,IPPG,CAS,Santiago,On Line,4,2021,Activo,1,Magíster
8175,Mujer,0,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8176,Hombre,1,2017,2,UNAB25419,Magíster en Tributación,Economía y Negocios,LNS,Santiago,Vespertina,4,2020,Activo,1,Magíster
8177,Hombre,1,2017,1,UNAB25491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,Vespertina,3,2019,Desertor,0,Magíster
8178,Hombre,1,2014,1,IPPG15349,MBA con Especialización en Salud,IPPG,REP,Santiago,Diurna,4,2016,Desertor,0,Magíster
8179,Mujer,0,2018,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2021,Activo,1,Magíster
8180,Hombre,1,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8181,Mujer,0,2018,1,IPPG35481,Magíster en Salud Pública con Menciones (Mph),IPPG,CAS,Santiago,On Line,4,2020,Activo,1,Magíster
8182,Mujer,0,2017,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2019,Desertor,0,Magíster
8183,Hombre,1,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8184,Hombre,1,2016,2,UNAB35551,Magister en Direccion de Recursos Humanos y Habilidades Directivas,Economía y Negocios,LNS,Santiago,On Line,26,2018,Desertor,0,Magíster
8185,Mujer,0,2018,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2021,Activo,1,Magíster
8186,Hombre,1,2018,2,UNAB25419,Magíster en Tributación,Economía y Negocios,LNS,Santiago,Vespertina,4,2021,Activo,1,Magíster
8187,Mujer,0,2018,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2021,Activo,1,Magíster
8188,Mujer,0,2017,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8189,Hombre,1,2018,3,UNAB35636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2021,Activo,1,Magíster
8190,Mujer,0,2018,2,UNAB35553,Magister en Direccion Comercial y Marketing Estrategico,Economía y Negocios,LNS,Santiago,On Line,26,2020,Activo,1,Magíster
8191,Hombre,1,2018,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8192,Mujer,0,2018,1,UNAB35553,Magister en Direccion Comercial y Marketing Estrategico,Economía y Negocios,LNS,Santiago,On Line,26,2020,Activo,1,Magíster
8193,Hombre,1,2018,2,UNAB25568,Magíster en Gestión de Tecnologías de la Información y Telecomunicaciones,Ingeniería,ANT,Santiago,Vespertina,3,2020,Activo,1,Magíster
8194,Hombre,1,2018,2,UNAB35551,Magister en Direccion de Recursos Humanos y Habilidades Directivas,Economía y Negocios,LNS,Santiago,On Line,26,2020,Activo,1,Magíster
8195,Hombre,1,2018,3,UNAB25568,Magíster en Gestión de Tecnologías de la Información y Telecomunicaciones,Ingeniería,VIN,Viña del Mar,Vespertina,3,2021,Activo,1,Magíster
8196,Mujer,0,2018,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2021,Activo,1,Magíster
8197,Mujer,0,2017,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2020,Activo,1,Magíster
8198,Hombre,1,2018,1,UNAB25419,Magíster en Tributación,Economía y Negocios,LNS,Santiago,Vespertina,4,2020,Activo,1,Magíster
8199,Mujer,0,2018,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2021,Activo,1,Magíster
8200,Hombre,1,2018,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2021,Activo,1,Magíster
8201,Mujer,0,2018,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8202,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8203,Hombre,1,2018,2,UNAB35551,Magister en Direccion de Recursos Humanos y Habilidades Directivas,Economía y Negocios,LNS,Santiago,On Line,26,2020,Activo,1,Magíster
8204,Hombre,1,2018,2,UNAB35496,Magíster en Dirección de Operaciones y Logística,Ingeniería,ANT,Santiago,On Line,4,2021,Activo,1,Magíster
8205,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8206,Mujer,0,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8207,Hombre,1,2018,2,UNAB25311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2021,Activo,1,Magíster
8208,Mujer,0,2018,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8209,Mujer,0,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2020,Activo,1,Magíster
8210,Hombre,1,2018,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8211,Hombre,1,2018,2,UNAB35551,Magister en Direccion de Recursos Humanos y Habilidades Directivas,Economía y Negocios,LNS,Santiago,On Line,26,2020,Activo,1,Magíster
8212,Hombre,1,2017,1,UNAB35491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2019,Desertor,0,Magíster
8213,Mujer,0,2018,2,UNAB35338,Magíster en Gestión en Atención Primaria de Salud,Enfermería,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8214,Mujer,0,2017,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
8215,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8216,Mujer,0,2017,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8217,Mujer,0,2017,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
8218,Hombre,1,2015,2,UNAB35501,Magíster Internacional en Administración de Empresas,Economía y Negocios,REP,Santiago,On Line,2,2017,Desertor,0,Magíster
8219,Mujer,0,2018,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8220,Hombre,1,2017,1,UNAB25491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,VIN,Viña del Mar,Vespertina,3,2019,Desertor,0,Magíster
8221,Mujer,0,2018,1,UNAB25419,Magíster en Tributación,Economía y Negocios,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8222,Hombre,1,2018,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8223,Mujer,0,2018,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8224,Mujer,0,2018,2,UNAB35519,Magíster en Gestión e Inclusión laboral de Personas en Situación de Discapacidad,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8225,Mujer,0,2018,1,UNAB25419,Magíster en Tributación,Economía y Negocios,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8226,Mujer,0,2018,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8227,Mujer,0,2018,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,EXT,Santiago,On Line,4,2021,Activo,1,Magíster
8228,Mujer,0,2018,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8229,Hombre,1,2017,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2020,Activo,1,Magíster
8230,Mujer,0,2018,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2021,Activo,1,Magíster
8231,Mujer,0,2018,1,UNAB25311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
8232,Mujer,0,2015,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
8233,Hombre,1,2018,2,UNAB25568,Magíster en Gestión de Tecnologías de la Información y Telecomunicaciones,Ingeniería,ANT,Santiago,Vespertina,3,2020,Activo,1,Magíster
8234,Hombre,1,2018,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8235,Hombre,1,2018,2,UNAB35554,Magister en Direccion de Empresas (MBA Executive),Economía y Negocios,LNS,Santiago,On Line,28,2020,Activo,1,Magíster
8236,Hombre,1,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8237,Mujer,0,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8238,Hombre,1,2018,1,UNAB25419,Magíster en Tributación,Economía y Negocios,LNS,Santiago,Vespertina,4,2020,Activo,1,Magíster
8239,Mujer,0,2017,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8240,Mujer,0,2018,2,IPPG15481,Magíster en Salud Pública con Menciones (Mph),IPPG,CON,Concepción,Diurna,4,2021,Activo,1,Magíster
8241,Hombre,1,2018,1,UNAB25636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,Vespertina,3,2020,Activo,1,Magíster
8242,Mujer,0,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2020,Activo,1,Magíster
8243,Mujer,0,2018,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8244,Hombre,1,2018,1,UNAB25419,Magíster en Tributación,Economía y Negocios,VIN,Viña del Mar,Vespertina,4,2020,Activo,1,Magíster
8245,Hombre,1,2017,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8246,Hombre,1,2017,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2020,Activo,1,Magíster
8247,Hombre,1,2018,1,UNAB25409,Magister en Ingeniería Informática,Ingeniería,ANT,Santiago,Vespertina,3,2020,Activo,1,Magíster
8248,Hombre,1,2018,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8249,Mujer,0,2018,2,IPPG15348,MBA con Especialización en Salud,IPPG,CAS,Santiago,Diurna,4,2021,Activo,1,Magíster
8250,Mujer,0,2018,2,IPPG15348,MBA con Especialización en Salud,IPPG,CAS,Santiago,Diurna,4,2021,Activo,1,Magíster
8251,Mujer,0,2018,1,UNAB25410,Magister en Enseñanza del Inglés Como Lengua Extranjera,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
8252,Mujer,0,2018,2,IPPG15348,MBA con Especialización en Salud,IPPG,CAS,Santiago,Diurna,4,2021,Activo,1,Magíster
8253,Hombre,1,2018,2,IPPG35481,Magíster en Salud Pública con Menciones (Mph),IPPG,CAS,Santiago,On Line,4,2021,Activo,1,Magíster
8254,Mujer,0,2018,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,EXT,Santiago,On Line,4,2021,Activo,1,Magíster
8255,Mujer,0,2018,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8256,Mujer,0,2018,1,IPPG35348,MBA con Especialización en Salud,IPPG,CAS,Santiago,On Line,4,2020,Activo,1,Magíster
8257,Mujer,0,2018,1,UNAB25391,Magister en Gestión de la Actividad Física y Deportiva,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
8258,Hombre,1,2017,1,UNAB35491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2019,Desertor,0,Magíster
8259,Hombre,1,2018,1,UNAB35636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2020,Activo,1,Magíster
8260,Mujer,0,2017,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,EXT,Santiago,Vespertina,4,2019,Desertor,0,Magíster
8261,Hombre,1,2017,2,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8262,Mujer,0,2018,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8263,Mujer,0,2018,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2021,Activo,1,Magíster
8264,Hombre,1,2017,1,UNAB35491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2019,Desertor,0,Magíster
8265,Mujer,0,2018,2,UNAB35636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2020,Activo,1,Magíster
8266,Mujer,0,2014,1,IPPG15349,MBA con Especialización en Salud,IPPG,REP,Santiago,Diurna,4,2016,Desertor,0,Magíster
8267,Mujer,0,2018,2,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2021,Activo,1,Magíster
8268,Mujer,0,2018,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8269,Hombre,1,2018,3,UNAB25568,Magíster en Gestión de Tecnologías de la Información y Telecomunicaciones,Ingeniería,VIN,Viña del Mar,Vespertina,3,2021,Activo,1,Magíster
8270,Hombre,1,2018,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8271,Hombre,1,2018,2,UNAB25636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,Vespertina,3,2020,Activo,1,Magíster
8272,Hombre,1,2014,1,IPPG15349,MBA con Especialización en Salud,IPPG,REP,Santiago,Diurna,4,2016,Desertor,0,Magíster
8273,Mujer,0,2017,2,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
8274,Mujer,0,2014,2,IPPG15481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,Diurna,4,2017,Desertor,0,Magíster
